"METAI";"MENESIS";"LAIKOTARPIS";"KIEKIS"
2010.0;"Sausis";4.0;0.0
2010.0;"Sausis";5.0;0.0
2010.0;"Sausis";6.0;0.0
2010.0;"Sausis";7.0;0.0
2010.0;"Sausis";8.0;0.0
2010.0;"Sausis";9.0;0.0
2010.0;"Sausis";11.0;0.0
2010.0;"Sausis";12.0;0.0
2010.0;"Sausis";13.0;0.0
2010.0;"Sausis";14.0;0.0
2010.0;"Sausis";15.0;0.0
2010.0;"Sausis";16.0;0.0
2010.0;"Sausis";17.0;0.0
2010.0;"Sausis";18.0;0.0
2010.0;"Sausis";19.0;0.0
2010.0;"Sausis";20.0;0.0
2010.0;"Sausis";21.0;0.0
2010.0;"Sausis";22.0;0.0
2010.0;"Sausis";23.0;0.0
2010.0;"Sausis";25.0;0.0
2010.0;"Sausis";26.0;0.0
2010.0;"Sausis";27.0;0.0
2010.0;"Sausis";28.0;0.0
2010.0;"Sausis";29.0;0.0
2010.0;"Vasaris";1.0;0.1
2010.0;"Vasaris";2.0;0.0
2010.0;"Vasaris";3.0;0.0
2010.0;"Vasaris";4.0;0.0
2010.0;"Vasaris";5.0;0.1
2010.0;"Vasaris";6.0;0.0
2010.0;"Vasaris";7.0;0.0
2010.0;"Vasaris";8.0;0.1
2010.0;"Vasaris";9.0;0.1
2010.0;"Vasaris";10.0;0.1
2010.0;"Vasaris";11.0;0.0
2010.0;"Vasaris";12.0;0.2
2010.0;"Vasaris";13.0;0.0
2010.0;"Vasaris";15.0;0.0
2010.0;"Vasaris";17.0;0.1
2010.0;"Vasaris";18.0;0.0
2010.0;"Vasaris";19.0;0.2
2010.0;"Vasaris";20.0;0.0
2010.0;"Vasaris";22.0;0.1
2010.0;"Vasaris";23.0;0.1
2010.0;"Vasaris";24.0;0.1
2010.0;"Vasaris";25.0;0.1
2010.0;"Vasaris";26.0;0.3
2010.0;"Vasaris";27.0;0.0
2010.0;"Kovas";1.0;0.3
2010.0;"Kovas";2.0;0.2
